11;19
11;20
12;20
13;20
13;21
13;22
13;23
13;24
13;25
13;24
13;23
13;22
13;21
14;21
15;21
16;21
17;21
18;21
19;21
20;21
20;22
21;22
22;22
22;21
22;20
22;19
22;18
22;17
22;16
21;16
21;15
21;14
21;13
21;12
21;11
21;10
21;9
21;8
20;8
19;8
19;7
19;6
18;6
17;6
17;5
16;5
15;5
15;4
15;3
15;2
15;1
16;1
17;1
18;1
19;1
20;1
20;2
21;2
22;2
23;2
24;2
25;2
26;2
27;2
28;2
28;3
29;3
30;3
31;3
32;3
32;4
32;5
33;5
34;5
35;5
36;5
37;5
37;4
38;4
38;5
37;5
36;5
35;5
35;6
35;7
34;7
34;8
34;9
34;10
34;11
34;12
34;13
33;13
32;13
32;14
31;14
30;14
29;14
29;15
29;16
29;17
28;17
27;17
26;17
25;17
25;18
24;18
23;18
22;18
21;18
20;18
20;19
19;19
18;19
17;19
16;19
15;19
14;19
13;19
13;20
13;21
13;22
13;23
13;24
13;25
12;25
12;24
12;23
11;23
10;23
9;23
8;23
8;22
7;22
6;22
5;22
4;22
3;22
3;21
3;20
2;20
2;19
2;20
2;21
2;22
2;23
2;24
2;25
2;26
2;27
2;28
3;28
3;29
3;30
3;31
4;31
4;32
5;32
6;32
6;33
